SAMPLE_ID,Source,Source_path,Question,Answer
TRAIN_233,재정통계해설,./train_source/재정통계해설.pdf,"재정수지의 의미와 중요성은 무엇이며, 통합재정수지는 무엇인가?","재정수지는 국가재정의 건전성을 판단하기 위한 재정 지표로, 재정수입과 재정 지출의 차이를 의미합니다. 통합재정수지는 일반회계, 특별회계와 기금을 모두 포괄하여 총수입에서 총지출을 차감하여 산출하며, 순수한 정부 수입과 지출의 차이를 보여준다."
TRAIN_142,재정통계해설,./train_source/재정통계해설.pdf,"통합재정수지는 무엇이며, 이를 통해 어떤 정보를 파악할 수 있나요?","통합재정수지는 통합재정수입과 통합재정지출의 차이로, 즉 통합재정수입에서 통합재정지출 및 순융자를 차감한 값입니다. 이를 통해 정부의 재정 상태를 파악할 수 있으며, 정부의 재정 건전성이나 경제에 대한 재정적 영향을 평가하는 데 사용됩니다."
TRAIN_490,월간 나라재정 2023년 12월호,./train_source/월간 나라재정 2023년 12월호.pdf,관리재정수지는 어떻게 정의되는가요?,관리재정수지는 통합재정수지에서 사회보장성기금수지를 차감하여 산출된 재정 흑자 또는 적자를 의미합니다.
TRAIN_073,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,농업의 생산성을 높이고 노동 투입량을 줄이기 위해 어떤 방안을 추진하고 있는가?,"스마트농업을 육성하고 농업 자동화 및 데이터 기반 스마트팜 확산을 추진하고 있으며, 임대형 스마트팜과 스마트온실을 구축하여 청년농에게 장기 임대하는 등의 방안을 추진하고 있다."
TRAIN_491,월간 나라재정 2023년 12월호,./train_source/월간 나라재정 2023년 12월호.pdf,자치단체 보조금과 민간보조금은 각각 어떤 비율로 증가했는가?,"자치단체 보조금은 2019년 대비 2022년에 35% 증가하였고, 민간보조금은 10.9% 증가하였다."
TRAIN_032,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,발생주의와 현금주의의 부채 인식 방식에는 어떤 차이가 있나요?,"현금주의는 채무 수납과 지급 시점을 기준으로 수입과 비용을 인식하는 반면, 발생주의는 거래나 경제적 사건 발생 시점을 기준으로 수익과 비용을 인식합니다."
TRAIN_093,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,교통약자의 이동편의를 증진하기 위해 어떤 사업을 확대하고 지속적으로 지원할 것인가?,교통약자의 이동편의를 증진하기 위해 '특별교통수단 도입 및 운영비 지원'을 확대하고 '저상버스 도입'을 지속적으로 지원할 것이다.
TRAIN_364,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,기상서비스 진흥을 위한 성과지표 중 '통합기상기후데이터 API 활용 건수'의 '24년 목표치는 얼마인가요?,572건
TRAIN_185,재정통계해설,./train_source/재정통계해설.pdf,공공부문부채(D3)는 어떤 범위를 포괄하는 지표인가?,"공공부문부채(D3)는 중앙 정부와 지방자치단체(지방교육재정)의 모든 회계·기금 및 비영리공공기관, 비금융 공기업을 부채를 포괄한다."
TRAIN_203,재정통계해설,./train_source/재정통계해설.pdf,교통·에너지·환경세는 어떤 자원에 대해 부과되는 세금인가요?,교통·에너지·환경세는 자동차 연료인 휘발유와 경유에 대한 유류세로 부과됩니다.
