SAMPLE_ID,Source,Source_path,Question,Answer
TRAIN_311,보건복지부_생계급여,./train_source/보건복지부_생계급여.pdf,생계급여 부양의무자 기준이 언제 전면 폐지되었나요?,생계급여 부양의무자 기준은 2021년 10월에 전면 폐지되었습니다.
TRAIN_329,고용노동부_조기재취업수당,./train_source/고용노동부_조기재취업수당.pdf,이주비의 지급 조건은 무엇인가요?,이주비는 수급자격자가 취업하거나 직업안정기관의 장이 지시한 직업능력개발 훈련 등을 받기 위해 주거를 이전하는 경우에 대통령령으로 정하는 기준에 따라 직업안정기관의 장이 필요하다고 인정하면 지급할 수 있습니다.
TRAIN_051,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,청년층을 위한 주거비용 지원 정책과 산업단지를 청년이 선호하는 환경으로 전환하기 위한 프로젝트에 대해 설명해주세요.,"청년 월세 한시 특별지원을 1년 연장 지원하고, 청년 대상 공공분양 및 공공 임대 등 공공주택 공급을 대폭 확대하였습니다. 또한, 산리단길 프로젝트를 추진하여 기숙사형 오피스텔, 편의시설 등을 조성하는 산단환경개선펀드를 대폭 확대하고, 청년복합문화센터 및 아름다운거리를 조성하였습니다."
TRAIN_494,월간 나라재정 2023년 12월호,./train_source/월간 나라재정 2023년 12월호.pdf,"2023년 12월 IMF는 성장 전망을 어떻게 제시하고 있으며, 성장세의 둔화가 어떤 조치로 완화될 수 있는지 설명하고 있는가?","IMF는 최근 세계 경제전망을 통해 작년 3.5%에서 올해 3%, 내년 2.9%로 성장세가 둔화될 것으로 전망하고 있으며, 이에 대비하여 디스인플레이션, 향후 충격에 대비한 완충 장치 재구축, 더 견고하고 안정적인 성장 전망 등을 통해 완화될 수 있다고 언급하고 있습니다."
TRAIN_300,보건복지부_생계급여,./train_source/보건복지부_생계급여.pdf,국민기초생활보장법에 따른 급여의 종류는 무엇인가?,"생계급여, 주거급여, 의료급여, 교육급여, 해산급여, 장제급여, 자활급여"
TRAIN_461,「FIS 이슈 & 포커스」 23-3호 《조세지출 연계관리》,./train_source/「FIS 이슈 & 포커스」 23-3호 《조세지출 연계관리》.pdf,"조세지출이란 무엇이며, 조세지출 예산서는 무엇을 포함하고 있는가?","조세지출이란 '일반적인 조세체계에서 벗어난 조세특례에 의하여 납세자에 대한 재정지원을 목적으로 발생하는 국가 세입의 감소'를 의미하며, 조세지출 예산서는 조세특례제한법과 개별 세법상의 비과세, 세액공제·감면, 소득공제 등 조세지출(국세 감면)의 3개 연도 실적 및 전망을 항목·기능별로 집계·분석한 자료를 포함하고 있다."
TRAIN_105,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,'새출발기금'은 무엇인가? ,코로나 피해 자영업자·소상공인의 채무상환 부담을 완화하기 위한 기금
TRAIN_485,월간 나라재정 2023년 12월호,./train_source/월간 나라재정 2023년 12월호.pdf,2022년 R&D 예산은 최근 10년간 어떤 변화를 보였는가?,R&D 예산은 2012년 16조원에서 2022년 29.8조원으로 10년 사이에 13조원이 대폭 증가하였다.
TRAIN_065,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,장애인 연금이 어떻게 변화했는가?,"장애인 연금은 기초급여가 '23년에 월 32.3만원에서 '24년에 월 33.5만원으로 증가하고, 부가급여도 월 2~7만원에서 '24년에 월 3~8만원으로 증가했다."
TRAIN_313,국토교통부_소규모주택정비사업,./train_source/국토교통부_소규모주택정비사업.pdf,주거환경 개선 및 신속한 주택공급을 위해 어떤 사업이 시행되는가?,가로주택정비사업과 자율주택정비사업이 시행됩니다.
