SAMPLE_ID,Source,Source_path,Question,Answer
TRAIN_138,재정통계해설,./train_source/재정통계해설.pdf,통합재정의 범위와 의미는 무엇인가?,"정부의 모든 회계·기금을 포괄하고 회계·기금간, 정부간 내부거래를 제외하여 순수한 재정활동을 파악하는 것이다."
TRAIN_494,월간 나라재정 2023년 12월호,./train_source/월간 나라재정 2023년 12월호.pdf,"2023년 12월 IMF는 성장 전망을 어떻게 제시하고 있으며, 성장세의 둔화가 어떤 조치로 완화될 수 있는지 설명하고 있는가?","IMF는 최근 세계 경제전망을 통해 작년 3.5%에서 올해 3%, 내년 2.9%로 성장세가 둔화될 것으로 전망하고 있으며, 이에 대비하여 디스인플레이션, 향후 충격에 대비한 완충 장치 재구축, 더 견고하고 안정적인 성장 전망 등을 통해 완화될 수 있다고 언급하고 있습니다."
TRAIN_094,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,어떤 기술을 홍수피해에 선제적으로 대응하기 위해 우선 투자하고 있나요?,"인공지능(AI) 홍수예보, 댐-하천 디지털 트윈기술에 우선 투자하고 있습니다."
TRAIN_436,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,전략목표의 효과적인 평가를 위해 어떤 조치가 필요한가?,향후 개선 수준을 확인할 수 있도록 명확하게 설정되어야 한다.
TRAIN_248,재정통계해설,./train_source/재정통계해설.pdf,예산과정의 전반적인 의미와 그 중요성은 무엇인가?,"예산과정은 정부가 효율적으로 재정을 관리하고 집행하는 데 필요한 일련의 절차를 의미한다. 이 과정은 예산안의 편성에서 시작하여 국회의 심의 및 확정, 각 부처의 예산 집행, 그리고 국회의 결산 승인에 이르기까지 포함된다. 예산과정은 정부의 재정 운용의 투명성을 보장하고, 국가의 재정적 책임을 강화하는 중요한 역할을 한다."
TRAIN_389,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,"2022 회계연도부터 성과기반의 재정운용을 강화하기 위해 성과계획서가 어떤 단위로 작성되었으며, 2024 회계연도부터 성과지표 설정 원칙은 어떻게 변경되었나요?","2022 회계연도부터 성과계획서는 프로그램 단위로 작성되었으며, 2024 회계연도부터는 '1 프로그램 1 지표'를 원칙으로 성과지표가 설정되게 되었습니다."
TRAIN_477,「FIS 이슈 & 포커스」 22-3호 《재정융자사업》,./train_source/「FIS 이슈 & 포커스」 22-3호 《재정융자사업》.pdf,재정융자의 성격과 국민경제에 미치는 영향은 무엇인가요?,"재정융자는 융자금 회수와 순융자 성격을 가지며, 금융시장에서 금융상품을 거래하는 방식으로 정부의 수입과 지출활동이 수행됩니다. 이는 국민경제에 큰 영향을 미치는 활동으로, 투자 역할, 경기조절 역할, 금리 지원 등 다양한 역할을 수행합니다."
TRAIN_146,재정통계해설,./train_source/재정통계해설.pdf,일반회계란 무엇이며 어떤 목적으로 사용되는가?,"일반회계는 나라살림의 기본이 되는 회계로 정부의 일반적인 재정활동에 사용되며, 가계의 급여통장이나 기업의 주거래 계좌와 같은 의미로 볼 수 있음"
TRAIN_250,재정통계해설,./train_source/재정통계해설.pdf,"기초재정수지와 구조적 재정수지는 각각 어떤 경제적 요인을 고려하여 작성되는 지표이며, 이들 지표가 재정 정책에 어떻게 활용되는가?","기초재정수지는 총수입에서 총지출에서 이자수지를 뺀 값으로 정의할 수 있다. 이는 정부의 일반적인 재정 상태를 나타내는 지표로 사용된다. 구조적 재정수지는 경기 변동을 고려하지 않은 상태에서의 재정 상태를 나타내며, 경기조정재정수지에서 일시적인 수입 및 지출의 변동 요인을 제거한 후 계산된다. 이 지표는 재정 정책의 중장기적인 건전성을 평가하는 데 중요하게 활용된다."
TRAIN_382,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,관세청의 '24년 예산안은 얼마인가?,"183,608백만원"
