SAMPLE_ID,Source,Source_path,Question,Answer
TRAIN_370,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,국민권익증진을 위한 반부패·청렴 정책 강화 및 현장중심의 행정을 펼치는 프로그램의 '24년 예산안은 얼마인가요?,"54,928백만원입니다."
TRAIN_435,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,전략목표의 설정 시 어떤 요소들을 고려해야 하는가?,"국정 목표, 기관의 임무와 비전, 기관의 임무와 논리적 연계성을 고려해야 하며, 구체적인 내용으로 작성되어야 한다."
TRAIN_060,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,한국 정부가 녹색산업 육성 및 해외진출 지원을 강화하기 위해 취하고 있는 조치와 전기차 및 수소차에 대한 정책은 무엇인가?,"한국 정부는 기업 성장단계별 맞춤형 지원을 지속하고 현지 수주지원단 파견, 수출지원 전용 펀드 신규 조성 등 해외진출 지원을 강화하고 있으며, 전기차는 보급형·고성능 차량 중심으로, 수소차는 상용차 중심으로 지원하고 있음."
TRAIN_461,「FIS 이슈 & 포커스」 23-3호 《조세지출 연계관리》,./train_source/「FIS 이슈 & 포커스」 23-3호 《조세지출 연계관리》.pdf,"조세지출이란 무엇이며, 조세지출 예산서는 무엇을 포함하고 있는가?","조세지출이란 '일반적인 조세체계에서 벗어난 조세특례에 의하여 납세자에 대한 재정지원을 목적으로 발생하는 국가 세입의 감소'를 의미하며, 조세지출 예산서는 조세특례제한법과 개별 세법상의 비과세, 세액공제·감면, 소득공제 등 조세지출(국세 감면)의 3개 연도 실적 및 전망을 항목·기능별로 집계·분석한 자료를 포함하고 있다."
TRAIN_175,재정통계해설,./train_source/재정통계해설.pdf,외국환평형기금채권은 왜 발행하는가?,외국환평형기금채권은 1998년 외환위기 이후 외환 보유액 확충을 위해 발행된다.
TRAIN_230,재정통계해설,./train_source/재정통계해설.pdf,이월명세서를 작성하여 제출해야 하는 기한은 언제인가?,이월명세서를 작성하여 제출해야 하는 기한은 12월 31일 기준으로 작성하여 1월 31일까지 기획재정부장관과 감사원에 제출해야 함
TRAIN_274,고용노동부_청년일자리창출지원,./train_source/고용노동부_청년일자리창출지원.pdf,2024년 청년일자리도약장려금의 지원 대상기업과 수령 조건은 무엇인가요?,"지원 대상기업은 5인 이상 우선지원대상기업이며, 수령 조건은 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 이상 고용유지해야 합니다."
TRAIN_344,2024년도 성과계획서(총괄편),./train_source/2024년도 성과계획서(총괄편).pdf,성과계획서에 따른 '효율적 국정수행을 지원하기 위해 정보화 역량을 제고한다'는 프로그램목표의 성과지표 중 2024년 정보서비스 가용성의 목표치는 얼마인가?,99.90%
TRAIN_121,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,교육 분야 재정투자 계획에 따르면 고등교육 분야의 예산은 2024년에 어떻게 변화하는가?,"고등교육 분야의 예산은 146,713억원으로 2023년 대비 4.7% 증가한다."
TRAIN_010,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 기금수입 중 가장 큰 비중을 차지하는 항목은 무엇인가?,기금수입 중 가장 큰 비중을 차지하는 항목은 사회보장성기금 기여금이다.
